Number,Total,Hp,Atk,Def,SpAtk,SpDef,Speed,Type 1,Type 2
647,580,91,72,90,129,90,108,3,10
647,580,91,72,90,129,90,108,3,10
648,600,100,77,77,128,128,90,5,11
648,600,100,128,90,77,77,128,5,10
649,600,71,120,95,120,95,99,4,17
650,313,56,61,65,48,45,38,1,
651,405,61,78,95,56,58,57,1,
652,530,88,107,122,74,75,64,1,10
653,307,40,45,40,62,60,60,2,
654,409,59,59,58,90,70,73,2,
655,534,75,69,72,114,100,104,2,11
656,314,41,56,40,62,44,71,3,
657,405,54,63,52,83,56,97,3,
658,530,72,95,67,103,71,122,3,16
659,237,38,36,38,32,36,57,5,
660,423,85,56,77,50,77,78,5,8
661,278,45,50,43,40,38,62,5,18
662,382,62,73,55,56,52,84,2,18
663,499,78,81,71,74,69,126,2,18
664,200,38,35,40,27,25,35,4,
665,213,45,22,60,27,30,29,4,
666,411,80,52,50,90,50,89,4,18
667,369,62,50,58,73,54,72,2,5
668,507,86,68,72,109,66,106,2,5
669,303,44,38,39,61,79,42,9,
670,371,54,45,47,75,98,52,9,
671,552,78,65,68,112,154,75,9,
672,350,66,65,48,62,57,52,1,
673,531,123,100,62,97,81,68,1,
674,348,67,82,62,46,48,43,10,
675,495,95,124,78,69,71,58,10,16
676,472,75,80,60,65,90,102,5,
677,355,62,48,54,63,60,68,11,
678,466,74,48,76,83,81,104,11,
678,466,74,48,76,83,81,104,11,
679,325,45,80,100,35,37,28,17,13
680,448,59,110,150,45,49,35,17,13
681,520,60,150,50,150,50,60,17,13
681,520,60,50,150,50,150,60,17,13
682,341,78,52,60,63,65,23,9,
683,462,101,72,72,99,89,29,9,
684,341,62,48,66,59,57,49,9,
685,480,82,80,86,85,75,72,9,
686,288,53,54,53,37,46,45,16,11
687,482,86,92,88,68,75,73,16,11
688,306,42,52,67,39,56,50,12,3
689,500,72,105,115,54,86,68,12,3
690,320,50,60,60,60,60,30,6,3
691,494,65,75,90,97,123,44,6,15
692,330,50,53,62,58,63,44,3,
693,500,71,73,88,120,89,59,3,
694,289,44,38,33,61,43,70,7,5
695,481,62,55,52,109,94,109,7,5
696,362,58,89,77,45,45,48,12,15
697,521,82,121,119,69,59,71,12,15
698,362,77,59,50,67,63,46,12,14
699,521,123,77,72,99,92,58,12,14
700,525,95,65,65,110,130,60,9,
701,500,78,92,75,74,63,118,10,18
702,431,67,58,57,81,67,101,7,9
703,500,50,50,150,50,150,50,12,9
704,300,45,50,35,55,75,40,15,
705,452,68,75,53,83,113,60,15,
706,600,90,100,70,110,150,80,15,
707,470,57,80,91,80,87,75,17,9
708,309,43,70,48,50,60,38,13,1
709,474,85,110,76,65,82,56,13,1
710,335,49,66,70,44,55,51,13,1
710,335,44,66,70,44,55,56,13,1
710,335,54,66,70,44,55,46,13,1
710,335,59,66,70,44,55,41,13,1
711,494,65,90,122,58,75,84,13,1
711,494,55,85,122,58,75,99,13,1
711,494,75,95,122,58,75,69,13,1
711,494,85,100,122,58,75,54,13,1
712,304,55,69,85,32,35,28,14,
713,514,95,117,184,44,46,28,14,
714,245,40,30,35,45,40,55,18,15
715,535,85,70,80,97,80,123,18,15
716,680,126,131,95,131,98,99,9,
717,680,126,131,95,131,98,99,16,18
718,600,108,100,121,81,95,95,15,8
719,600,50,100,150,100,150,50,12,9
719,700,50,160,110,160,110,110,12,9
720,600,80,110,60,150,130,70,11,13
720,680,80,160,60,170,130,80,11,16
721,600,80,110,120,130,90,70,2,3
